timestamp,case_id,case_name,case_category,priority,api_name,method,path,status,expected_http_status,actual_http_status,expected_result_type,actual_result_type,request_payload,response_body,assertion_summary,error_message
2026-05-26 17:23:15,CHAT-001,最小合法请求,happy_path,P0,chat_completions,POST,/v1/chat/completions,error,200,451,success,error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""raw_text"": ""输入内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 451
2026-05-26 17:23:23,CHAT-002,显式传 compliance_check=0,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,200,success,success,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""你能做些什么""}],""compliance_check"":0}","{""id"": ""chatcmpl-8b0cf020d9ede758"", ""object"": ""chat.completion"", ""created"": 1779787403, ""model"": ""Qwen3.6-35B-A3B"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""\n\n我能为你提供多方面的支持，主要集中在以下几个领域：\n\n🔹 **问答与知识解答**  \n涵盖科学、技术、人文、商业、生活等各领域，提供准确、条理清晰且适合你当前理解水平的解释。\n\n🔹 **内容创作与写作**  \n帮你撰写报告、邮件、策划案、故事、脚本、营销文案、学术论文框架等，可按你的语气、格式或用途定制。\n\n🔹 **编程与技术支持**  \n支持 Python、JavaScript、Java、C/C++、SQL 等主流语言，可编写代码、调试报错、解释算法、优化性能或生成技术文档。\n\n🔹 **信息处理与分析**  \n快速总结长文/会议纪要、提取关键点、对比分析、生成表格/大纲、数据清洗思路或可视化建议。\n\n🔹 **学习与辅导**  \n数学/逻辑题解题步骤、外语翻译与润色、语言学习规划、考试备考策略、概念拆解与举例说明。\n\n🔹 **日常实用工具**  \n制定日程/计划、整理清单、提供工作/沟通建议、模拟面试/谈判对话、旅行/购物决策参考等。\n\n💡 **使用提示**：越具体的需求，我的回答越精准。例如：\n- “用通俗语言解释大语言模型的注意力机制”\n- “帮我写一封回复客户投诉的英文邮件，语气专业但温和”\n- “这段 Python 代码运行慢，怎么优化？”\n- “把这三份会议记录整理成 1 页决策摘要”\n\n告诉我你想解决的具体问题或场景，我会立刻为你定制解答。需要先从哪块开始？"", ""tool_calls"": []}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 12, ""completion_tokens"": 956, ""total_tokens"": 968}}",执行或断言失败,AssertionError: 失败响应缺少 detail 数组
2026-05-26 17:24:01,CHAT-003,显式传 compliance_check=1,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,451,success,error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""我今天非常开心""}],""compliance_check"":1}","{""raw_text"": ""输入内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 451
2026-05-26 17:24:09,CHAT-004,显式传 compliance_check=2,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍一下人工智能""}],""compliance_check"":2}",,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 17:25:01,CHAT-005,显式传 compliance_check=3,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,451,success,error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""美国哪一年成立""}],""compliance_check"":3}","{""raw_text"": ""输入内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 451
2026-05-26 17:25:51,CHAT-006,不传 compliance_check 使用默认值,default_value,P1,chat_completions,POST,/v1/chat/completions,error,200,200,success,success,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""今天天气怎么样""}]}","{""id"": ""chatcmpl-86b0a471e666a407"", ""object"": ""chat.completion"", ""created"": 1779787556, ""model"": ""Qwen3.6-35B-A3B"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""\n\n我无法实时获取天气数据哦。如果你告诉我你所在的**城市或区县**，我可以为你提供参考建议，或者告诉你如何快速查询（比如手机自带天气App、搜索引擎输入“XX市今天天气”、或关注中央气象台/当地气象局官网）。需要我帮你查哪个地方？"", ""tool_calls"": []}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 13, ""completion_tokens"": 429, ""total_tokens"": 442}}",执行或断言失败,AssertionError: 失败响应缺少 detail 数组
2026-05-26 17:26:18,CHAT-007,传 null compliance_check,default_value,P2,chat_completions,POST,/v1/chat/completions,error,200,500,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍下北京""}],""compliance_check"":null}","{""detail"": ""合规检查异常: unsupported operand type(s) for &: 'NoneType' and 'int'""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 500
2026-05-26 17:26:18,CHAT-008,携带自定义扩展字段,custom_extension,P1,chat_completions,POST,/v1/chat/completions,error,200,500,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下大模型""}],""x_trace_id"":""trace-001"",""biz_tag"":""demo""}","{""detail"": ""Chat Completions API 调用失败: Completions.create() got an unexpected keyword argument 'x_trace_id'""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 500
2026-05-26 17:26:25,CHAT-009,缺少 model,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""model""], ""msg"": ""Field required"", ""input"": {""messages"": [{""role"": ""user"", ""content"": ""介绍一下Python""}]}}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-010,缺少 messages,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B""}","{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages""], ""msg"": ""Field required"", ""input"": {""model"": ""Qwen3.6-35B-A3B""}}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-011,messages 为空数组,boundary_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,500,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": []}","{""detail"": ""Chat Completions API 调用失败: Error code: 400 - {'error': {'message': 'list index out of range', 'type': 'BadRequestError', 'param': None, 'code': 400}}""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 500
2026-05-26 17:26:25,CHAT-012,messages 不是数组,type_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": {""role"":""user"",""content"":""介绍一下Python""}}","{""detail"": [{""type"": ""list_type"", ""loc"": [""body"", ""messages""], ""msg"": ""Input should be a valid list"", ""input"": {""role"": ""user"", ""content"": ""介绍一下Python""}}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-013,messages 元素缺少 role,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""content"":""介绍一下Python""}]}","{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages"", 0, ""role""], ""msg"": ""Field required"", ""input"": {""content"": ""介绍一下Python""}}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-014,messages 元素缺少 content,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user""}]}","{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages"", 0, ""content""], ""msg"": ""Field required"", ""input"": {""role"": ""user""}}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-015,model 传整数,type_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""model""], ""msg"": ""Input should be a valid string"", ""input"": 123}]}",全部断言通过,
2026-05-26 17:26:25,CHAT-016,role 传整数,type_validation,P1,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":1,""content"":""介绍一下Python""}]}","{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""messages"", 0, ""role""], ""msg"": ""Input should be a valid string"", ""input"": 1}]}",全部断言通过,
2026-05-26 17:26:26,CHAT-017,content 传数组,type_validation,P1,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"": [""介绍一下Python""]}]}","{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""messages"", 0, ""content""], ""msg"": ""Input should be a valid string"", ""input"": [""介绍一下Python""]}]}",全部断言通过,
2026-05-26 17:26:26,CHAT-018,compliance_check 传字符串,type_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,451,validation_error,error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":""1""}","{""raw_text"": ""输入内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 451
2026-05-26 17:26:34,CHAT-019,compliance_check=-1,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,451,validation_error,error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":-1}","{""raw_text"": ""输入内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 422，实际 451
2026-05-26 17:26:42,CHAT-020,compliance_check=4,enum_validation,P1,chat_completions,POST,/v1/chat/completions,error,422,,validation_error,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}],""compliance_check"":4}",,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 17:27:32,CHAT-021,成功响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请简单介绍机器学习""}]}",,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 17:28:22,CHAT-022,失败响应固定结构校验,response_schema,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":123,""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""detail"": [{""type"": ""string_type"", ""loc"": [""body"", ""model""], ""msg"": ""Input should be a valid string"", ""input"": 123}]}",全部断言通过,
